date,hour,o_zone_id,d_zone_id,volume
2019-10-15,14,1,6,16.0
2019-10-16,14,1,6,12.0
2019-10-17,14,1,6,9.0
2019-10-15,15,1,6,16.0
2019-10-16,15,1,6,20.0
2019-10-17,15,1,6,16.0
2019-10-15,16,1,6,37.0
2019-10-16,16,1,6,20.0
2019-10-17,16,1,6,33.0
2019-10-15,17,1,6,53.0
2019-10-16,17,1,6,69.0
2019-10-17,17,1,6,70.0
2019-10-15,18,1,6,29.0
2019-10-16,18,1,6,20.0
2019-10-17,18,1,6,24.0
2019-10-15,19,1,6,20.0
2019-10-16,19,1,6,20.0
2019-10-17,19,1,6,17.0
2019-10-15,20,1,6,12.0
2019-10-16,20,1,6,14.0
2019-10-17,20,1,6,13.0
2019-10-15,21,1,6,8.0
2019-10-16,21,1,6,7.0
2019-10-17,21,1,6,14.0
2019-10-15,22,1,6,3.0
2019-10-16,22,1,6,4.0
2019-10-17,22,1,6,5.0
2019-10-15,23,1,6,1.0
2019-10-16,23,1,6,1.0
2019-10-17,23,1,6,4.0
2019-10-16,5,1,7,1.0
2019-10-15,6,1,7,6.0
2019-10-16,6,1,7,4.0
2019-10-17,6,1,7,3.0
2019-10-15,7,1,7,4.0
2019-10-16,7,1,7,9.0
2019-10-17,7,1,7,8.0
2019-10-15,8,1,7,12.0
2019-10-16,8,1,7,6.0
2019-10-17,8,1,7,8.0
2019-10-15,9,1,7,4.0
2019-10-16,9,1,7,7.0
2019-10-17,9,1,7,6.0
2019-10-15,10,1,7,2.0
2019-10-17,10,1,7,1.0
2019-10-15,11,1,7,2.0
2019-10-16,11,1,7,3.0
2019-10-17,11,1,7,2.0
2019-10-15,12,1,7,2.0
2019-10-16,12,1,7,2.0
2019-10-17,12,1,7,3.0
2019-10-15,13,1,7,4.0
2019-10-16,13,1,7,8.0
2019-10-15,14,1,7,5.0
2019-10-16,14,1,7,3.0
2019-10-17,14,1,7,9.0
2019-10-15,15,1,7,14.0
2019-10-16,15,1,7,8.0
2019-10-17,15,1,7,9.0
2019-10-15,16,1,7,18.0
2019-10-16,16,1,7,20.0
2019-10-17,16,1,7,15.0
2019-10-15,17,1,7,42.0
2019-10-16,17,1,7,48.0
2019-10-17,17,1,7,42.0
2019-10-15,18,1,7,32.0
2019-10-16,18,1,7,28.0
2019-10-17,18,1,7,31.0
2019-10-15,19,1,7,7.0
2019-10-16,19,1,7,11.0
2019-10-17,19,1,7,7.0
2019-10-15,20,1,7,3.0
2019-10-16,20,1,7,7.0
2019-10-17,20,1,7,5.0
2019-10-15,21,1,7,1.0
2019-10-16,21,1,7,7.0
2019-10-17,21,1,7,4.0
2019-10-15,22,1,7,4.0
2019-10-16,22,1,7,3.0
2019-10-17,22,1,7,3.0
2019-10-15,23,1,7,3.0
2019-10-16,23,1,7,3.0
2019-10-17,23,1,7,1.0
2019-10-15,6,1,8,1.0
2019-10-17,6,1,8,1.0
2019-10-15,7,1,8,3.0
2019-10-16,7,1,8,4.0
2019-10-17,7,1,8,2.0
2019-10-15,8,1,8,3.0
2019-10-16,8,1,8,7.0
2019-10-17,8,1,8,3.0
2019-10-15,9,1,8,5.0
2019-10-16,9,1,8,7.0
2019-10-15,10,1,8,10.0
2019-10-16,10,1,8,5.0
2019-10-17,10,1,8,9.0
2019-10-15,11,1,8,6.0
2019-10-16,11,1,8,3.0
2019-10-17,11,1,8,8.0
2019-10-15,12,1,8,9.0
2019-10-16,12,1,8,10.0
