bus_stop_id,bus_stop_name,rail_station,distance_m
48125,E BRADDOCK RD + LINEAR PARK TRAIL,BRADDOCK RD METRORAIL STATION,57.4
29571,NAYLOR RD STATION & BUS BAY B,NAYLOR ROAD METRO STATION,57.4
29357,SUITLAND STATION & BUS BAY M,SUITLAND METRO STATION,58.1
27167,BENNING RD NE & 45TH ST NE,BENNING RD METRO STATION,58.6
40303,VIENNA STATION & BUS BAY L,VIENNA METRO STATION,59.0
29576,ADDISON RD STATION & BUS BAY E,ADDISON ROAD METRO STATION,59.4
5040,FORT DR & TENLEY CIRCLE,TENLEYTOWN METRO STATION,59.4
27154,E CAPITOL ST NE & BENNING RD NE,BENNING RD METRO STATION,59.7
27949,CONNECTICUT AVE NW & VEAZEY TER NW,VAN NESS-UDC METRO STATION,59.9
27103,EAST CAPITOL ST & SOUTHERN AVE,CAPITOL HEIGHTS METRO STATION,60.0
42833,SOUTHERN AVE STATION & BUS BAY N,SOUTHERN AVE METRO STATION,60.2
29001,ANACOSTIA STATION & BUS BAY M,ANACOSTIA METRO STATION,60.4
29222,BALLSTON STATION & BUS BAY F,BALLSTON METRO,61.0
29905,CONGRESS HEIGHTS STATION & BUS BAY G,CONGRESS HEIGHTS METRO STATION,61.4
26970,POTOMAC AVE & 14TH ST SE,POTOMAC AVE METRO,61.4
28670,GREENBELT STATION & BUS BAY G,GREENBELT METRO STATION,61.4
28844,CONGRESS HEIGHTS STATION & BUS BAY C,CONGRESS HEIGHTS METRO STATION,61.5
28666,LANDOVER STATION & BUS BAY C,LANDOVER METRO STATION,61.5
28655,ANACOSTIA STATION & BUS BAY B,ANACOSTIA METRO STATION,61.6
26712,ANACOSTIA STATION & BUS BAY L,ANACOSTIA METRO STATION,61.8
29713,MARINELLI RD & ROCKVILLE PIKE,WHITE FLINT METRO STATION,61.9
27780,BROOKLAND STATION & BUS BAY E,BROOKLAND-CUA METRO,62.0
28668,BROOKLAND-CUA STATION & BUS BAY G,BROOKLAND-CUA METRO,62.6
29198,PENTAGON TRANSIT CTR & BUS BAY U6,PENTAGON METRO STATION,62.7
27964,NEW CARROLLTON STATION & BUS BAY C,NEW CARROLLTON METRO STATION,63.4
3320,D ST SW & 7TH ST SW,L'ENFANT PLAZA METRO STATION,64.2
27331,MINNESOTA AVE STA & BUS BAY D,MINNESOTA AVE METRO STATION,64.3
28960,FORT TOTTEN STATION & BUS BAY B,FORT TOTTEN METRO STATION,64.9
42793,N MOORE ST & ROSSLYN STATION BUS BAY B,ROSSLYN METRO STATION,65.2
29136,N MOORE ST & ROSSLYN STATION BUS BAY C,ROSSLYN METRO STATION,65.3
28971,TAKOMA STATION & BUS BAY E,TAKOMA METRO STATION,65.3
7729,FRANKLIN SQUARE & BUS BAY D,MCPHERSON SQ METRO STATION,66.1
29698,TWINBROOK STATION & BUS BAY A,TWINBROOK METRO STATION,66.2
29647,DEANWOOD STATION & BUS BAY C,DEANWOOD METRO STATION,66.4
28803,NAYLOR RD STATION & BUS BAY F,NAYLOR ROAD METRO STATION,66.9
28835,WESTERN AVE & 44TH ST,FRIENDSHIP HEIGHTS METRO STATION,67.1
28959,FORT TOTTEN STATION & BUS BAY E,FORT TOTTEN METRO STATION,67.7
8223,MASSACHUSETTS AVE & FIRST ST NE,UNION STATION METRO STATION,68.7
40003,PG PLAZA STATION & BUS BAY G,PRINCE GEORGES PLAZA METRO STATION,69.2
28897,BROOKLAND STATION & BUS BAY C,BROOKLAND-CUA METRO,70.0
28063,FRIENDSHIP HEIGHTS STA & BUS BAY C,FRIENDSHIP HEIGHTS METRO STATION,70.6
29936,VIENNA STATION & BUS BAY K,VIENNA METRO STATION,70.8
27661,CONNECTICUT AVE & 24TH ST,WOODLEY PARK-ZOO METRO STATION,70.9
27660,24TH ST & CONNECTICUT AVE,WOODLEY PARK-ZOO METRO STATION,71.3
46990,KING STREET STA - BUS BAY A,KING STREET METRO STATION,71.5
40229,WHEATON STATION & BUS BAY C,WHEATON METRO STATION,72.2
6222,FORT DR & NEBRASKA AVE,TENLEYTOWN METRO STATION,72.2
29976,PG PLAZA STATION & BUS BAY B,PRINCE GEORGES PLAZA METRO STATION,72.2
28785,GLENMONT STATION & BAY E,GLENMONT METRO STATION,72.3
28930,BROOKLAND-CUA STATION & BUS BAY D,BROOKLAND-CUA METRO,72.5
28929,BROOKLAND-CUA STATION & BUS BAY H,BROOKLAND-CUA METRO,73.4
29648,NEW CARROLLTON STATION & BUS BAY J,NEW CARROLLTON METRO STATION,73.6
36835,MASSACHUSETTS AVE NE & FIRST ST NE,UNION STATION METRO STATION,73.7
28996,MINNESOTA AVE STA & BUS BAY M,MINNESOTA AVE METRO STATION,73.8
13078,CONNECTICUT AVE NW & Q ST NW,DUPONT CIRCLE METRO STATION,74.0
28980,RHODE ISLAND AVE STA & BUS BAY A,RHODE ISLAND METRO STATION,74.3
29145,N MOORE ST & ROSSLYN STATION BUS BAY D,ROSSLYN METRO STATION,74.4
27014,PENNSYLVANIA AVE SE & 8TH ST SE,EASTERN MARKET METRO STATION,74.6
6483,PENNSYLVANIA AVE SE & POTOMAC AVE SE,POTOMAC AVE METRO,74.9
42923,GEORGIA AVE + QUEBEC PL,GEORGIA AVE PETWORTH STATION,75.0
29975,ANACOSTIA STATION & BUS BAY A,ANACOSTIA METRO STATION,75.6
46817,KING STREET STA + BUS BAY E,KING STREET METRO STATION,76.0
29680,7TH ST NW & F ST NW,GALLERY PLACE CHINATOWN METRO STATION,76.2
29441,CAPITOL HEGHTS STATION & BUS BAY B,CAPITOL HEIGHTS METRO STATION,76.8
27386,17TH ST & I ST NW,FARRAGUT WEST METRO STATION,77.1
4950,CONNECTICUT AVE & WOODLEY RD,WOODLEY PARK-ZOO METRO STATION,77.5
29584,NEW CARROLLTON STATION & BUS BAY H,NEW CARROLLTON METRO STATION,77.5
29383,NEW CARROLLTON STATION & BUS BAY K,NEW CARROLLTON METRO STATION,77.9
13859,D ST & 7TH ST,L'ENFANT PLAZA METRO STATION,78.2
96,WISCONSIN AVE NW & ALBEMARLE ST NW,TENLEYTOWN METRO STATION,78.3
29879,S BELL ST & 18TH ST (BUS BAY D),CRYSTAL CITY METRO STATION,78.4
27184,WILSON BLVD & COURT HOUSE RD,COURTHOUSE METRO STATION,78.4
29430,ADDISON RD STATION & BUS BAY D,ADDISON ROAD METRO STATION,79.2
14792,20TH ST NW & MASSACHUSETTS AVE NW,DUPONT CIRCLE METRO STATION,79.6
29640,GREENBELT STATION & BUS BAY F,GREENBELT METRO STATION,79.8
29027,SOUTHERN AVE STATION & BUS BAY M,SOUTHERN AVE METRO STATION,80.2
28724,NEW HAMPSHIRE AVE NW & GEORGIA AVE,GEORGIA AVE PETWORTH STATION,80.7
29557,LANDOVER STATION & BUS BAY B,LANDOVER METRO STATION,80.9
28062,FRIENDSHIP HTS STA & BUS BAY J,FRIENDSHIP HEIGHTS METRO STATION,81.1
28879,FT TOTTEN STATION & ALIGHTING ONLY,FORT TOTTEN METRO STATION,81.4
7199,WISCONSIN AVE NW & TENLEY CIR,TENLEYTOWN METRO STATION,82.1
29558,NEW CARROLLTON STATION & BUS BAY D,NEW CARROLLTON METRO STATION,82.3
29758,FORT TOTTEN STATION & BUS BAY A,FORT TOTTEN METRO STATION,84.2
29553,TAKOMA STATION & BUS BAY D,TAKOMA METRO STATION,84.5
28754,GLENMONT STATION & BAY D,GLENMONT METRO STATION,84.5
28928,BROOKLAND STATION & BUS BAY J,BROOKLAND-CUA METRO,84.7
5956,MINNESOTA AVE NE & 48TH ST NE,DEANWOOD METRO STATION,85.1
29200,PENTAGON TRANSIT CTR & BUS BAY U5,PENTAGON METRO STATION,85.2
29674,DEANWOOD STATION & BUS BAY D,DEANWOOD METRO STATION,85.2
28958,FORT TOTTEN STATION & BUS BAY F,FORT TOTTEN METRO STATION,85.2
29371,SUITLAND STATION & BAY L,SUITLAND METRO STATION,85.5
29711,GLENMONT STATION & BAY F,GLENMONT METRO STATION,85.6
27174,WILSON BLVD & VEITCH ST,COURTHOUSE METRO STATION,85.7
29886,SOUTHERN AVE STATION & BUS BAY D,SOUTHERN AVE METRO STATION,85.9
28801,NAYLOR RD STATION & BUS BAY G,NAYLOR ROAD METRO STATION,86.8
28990,MINNESOTA AVE STATION & BUS BAY E,MINNESOTA AVE METRO STATION,86.9
29549,WEST HYATTSVILLE STATION & BUS BAY D,WEST HYATTSVILLE METRO STATION,87.5
23047,CLARENDON BLVD & COURTHOUSE RD,COURTHOUSE METRO STATION,87.7
40161,TYSONS CORNER STATION & BUS BAY G,TYSONS CORNER METRO STATION,87.9
29144,N MOORE ST & ROSSLYN STATION BUS BAY E,ROSSLYN METRO STATION,88.0
27156,EAST CAPITOL ST NE & BENNING RD STATION,BENNING RD METRO STATION,88.8
29583,PG PLAZA STATION & BUS BAY F,PRINCE GEORGES PLAZA METRO STATION,89.2
30143,WHEATON STATION & BUS BAY B,WHEATON METRO STATION,89.4
5868,MASSACHUSETTS AVE & 20TH ST,DUPONT CIRCLE METRO STATION,89.8
29398,NEW CARROLLTON STATION & BUS BAY G,NEW CARROLLTON METRO STATION,89.9
31584,VIENNA STATION & BUS BAY J,VIENNA METRO STATION,90.2
28931,WEST HYATTSVILLE STATION & BUS BAY E,WEST HYATTSVILLE METRO STATION,90.7
28909,E CAPITOL ST SE & TEXAS AVE SE,BENNING RD METRO STATION,90.8
29967,PG PLAZA STATION & BUS BAY C,PRINCE GEORGES PLAZA METRO STATION,91.5
25733,FRANCONIA-SPRGFLD STA. & BUS BAY D,FRANCONIA SPRINGFIELD METRO,91.9
28841,CONGRESS HEIGHTS STA & BUS BAY B,CONGRESS HEIGHTS METRO STATION,92.5
28721,STADIUM-ARMORY STATION & BUS BAY D,STADIUM ARMORY METRO STATION,93.0
41195,FRIENDSHIP HTS STA & BUS BAY D,FRIENDSHIP HEIGHTS METRO STATION,93.1
28927,MINNESOTA AVE STATION & BUS BAY K,MINNESOTA AVE METRO STATION,93.1
26918,M ST & 4TH ST SW,WATERFRONT METRO STATION,93.3
29707,MARINELLI RD & ROCKVILLE PIKE,WHITE FLINT METRO STATION,93.6
28926,MINNESOTA AVE STATION & BUS BAY L,MINNESOTA AVE METRO STATION,94.4
4000,GEORGIA AVE & REEDIE DR,WHEATON METRO STATION,94.8
29206,S BELL ST & 18TH ST (BUS BAY C),CRYSTAL CITY METRO STATION,95.1
29756,MEDICAL CENTER STATION & BUS BAY F,MEDICAL CENTER METRO/NAVAL MED CTR & NIH,96.7
29863,MINNESOTA AVE STA & BUS BAY N,MINNESOTA AVE METRO STATION,97.0
29107,PENTAGON TRANSIT CTR & BUS BAY L5,PENTAGON METRO STATION,97.3
29577,CAPITOL HEGHTS STATION & BUS BAY A,CAPITOL HEIGHTS METRO STATION,98.0
29207,S BELL ST & 18TH ST (BUS BAY B),CRYSTAL CITY METRO STATION,98.4
28657,ADDISON RD STATION & BUS BAY C,ADDISON ROAD METRO STATION,98.6
29762,FRIENDSHIP HGTS STA & BUS BAY K,FRIENDSHIP HEIGHTS METRO STATION,99.0
27025,8TH ST SE & D ST SE,EASTERN MARKET METRO STATION,99.7
1889,F ST NW & 12TH ST NW,METRO CENTER METRO STATION,99.7
29663,GREENBELT STATION & BUS BAY E,GREENBELT METRO STATION,100.2
29416,NEW CARROLLTON STATION & BUS BAY E,NEW CARROLLTON METRO STATION,101.5
42799,14TH ST & K ST,MCPHERSON SQ METRO STATION,101.6
26005,BRADDOCK RD STA & BUS BAY B,BRADDOCK RD METRORAIL STATION,102.0
31196,BENNING RD SE & E CAPITOL ST SE,BENNING RD METRO STATION,102.7
7590,11TH ST NW & G ST NW,METRO CENTER METRO STATION,102.8
27102,E CAPITOL ST SE & 46TH ST SE,BENNING RD METRO STATION,103.0
29315,WEST FALLS CHURCH STATION & BUS BAY D,WEST FALLS CHURCH METRO,103.0
42832,SOUTHERN AVE STATION & BUS BAY E,SOUTHERN AVE METRO STATION,103.0
41405,FRIENDSHIP HGTS STA & BUS BAY G,FRIENDSHIP HEIGHTS METRO STATION,104.0
28197,TAKOMA STATION & BUS BAY C,TAKOMA METRO STATION,104.4
29236,PENTAGON TRANSIT CTR & BUS BAY L4,PENTAGON METRO STATION,105.3
5861,MASSACHUSETTS AVE & 20TH ST,DUPONT CIRCLE METRO STATION,105.3
29514,LARGO TOWN CENTER STATION & BUS BAY D,LARGO TOWN CENTER METRO STATION,106.2
11114,S EADS ST & 18TH ST S,CRYSTAL CITY METRO STATION,107.0
29637,SUITLAND STATION & BAY K,SUITLAND METRO STATION,108.0
29761,WHEATON STATION & BUS BAY A,WHEATON METRO STATION,108.2
29221,PENTAGON STATION & BUS BAY U4,PENTAGON METRO STATION,108.6
7589,11TH ST & F ST,METRO CENTER METRO STATION,108.7
31852,VAN NESS ST & CONNECTICUT AVE,VAN NESS-UDC METRO STATION,109.3
31810,MINNESOTA AVE STA & BUS BAY F,MINNESOTA AVE METRO STATION,109.5
40304,VIENNA STATION & BUS BAY H,VIENNA METRO STATION,109.6
29969,PG PLAZA STATION & BUS BAY D,PRINCE GEORGES PLAZA METRO STATION,109.7
7182,WISCONSIN AVE NW & TENLEY CIRCLE NW,TENLEYTOWN METRO STATION,111.3
28110,BELCREST RD & EAST-WEST HWY,PRINCE GEORGES PLAZA METRO STATION,111.5
5959,MINNESOTA AVE NE & GAULT PL NE,MINNESOTA AVE METRO STATION,111.7
28944,STADIUM ARMORY STATION & BUS BAY E,STADIUM ARMORY METRO STATION,112.9
6247,TENLEY CIRCLE & NEBRASKA AVE,TENLEYTOWN METRO STATION,112.9
29759,FT TOTTEN STATION & BUS BAY K,FORT TOTTEN METRO STATION,112.9
27019,8TH ST SE & D ST SE,EASTERN MARKET METRO STATION,115.0
41190,DUNN LORING STATION & BUS BAY E,DUNN LORING MERRIFIELD METRO STATION,115.6
41849,FRANCONIA-SPRGFLD STA. & BUS BAY C,FRANCONIA SPRINGFIELD METRO,116.2
29550,WEST HYATTSVILLE STATION & BUS BAY F,WEST HYATTSVILLE METRO STATION,116.3
29684,D ST & 9TH ST TUNNEL ENTR,L'ENFANT PLAZA METRO STATION,116.5
